Filename, Type of Algorithm, Profit, Profit after Local Search, Optimal Profit, Error, sizeOfPathSet, StopFactor, CPU Time(ms), Run Time(ms), Route, Requests
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo2_c,-0.33178,0.42582,1.23058,0.80476,0,0,10,2.6334,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo3_a,0.42582,0.42582,1.23058,0.80476,0,0,0,3.41174,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo3_b,0.19152,0.83466,1.23058,0.39592,3,3,20,28.9214,1 9 4 7 10 ,1:9 4:7 7:10 9:4 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo4,0.1604,1.23058,1.23058,0,10,2,50,65.1189,1 5 2 3 10 ,1:2 1:5 2:3 3:10 5:2 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_a,0.70116,0.72002,0.79174,0.07172,7,0,30,34.967,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_a_disRatio_a,0.6448,0.6448,0.79174,0.14694,0,0,0,3.06273,1 2 10 ,1:2 2:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_a_disRatio_b,0.70116,0.72002,0.79174,0.07172,10,2,30,39.9548,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_b,0.70116,0.72002,0.79174,0.07172,7,3,20,28.7018,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_b_disRatio_a,0.70116,0.72002,0.79174,0.07172,7,3,20,26.5308,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo2_b,-2.23752,0.72002,0.79174,0.07172,6,3,30,23.6645,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo2_b_disRatio,0.46226,0.79174,0.79174,0,10,2,30,41.4689,1 3 9 10 ,1:3 1:9 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo2_c,0.00858,0.79174,0.79174,0,5,3,20,37.7675,1 3 9 10 ,1:3 1:9 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo3_a,0.6325,0.72002,0.79174,0.07172,6,3,30,32.2266,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo3_b,0.63924,0.72002,0.79174,0.07172,6,3,20,30.7613,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo4,0.4675,0.79174,0.79174,0,5,0,20,33.7132,1 3 9 10 ,1:3 1:9 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_a,0.20624,1.42076,1.42076,0,6,0,20,31.9137,1 3 9 10 ,1:3 3:9 9:10 
